Year,Region,Data Source,Investment (USD Billion)
2015,China,IT桔子,0.75
2015,China,清科研究中心,0.74
2015,China,企查查,0.81
2015,China,SmarterDx,0.68
2015,China,Fathom,0.7
2015,China,SAS,0.84
2015,China,深睿医疗,0.81
2015,China,Causaly,0.8
2015,China,Heidi Health,0.8
2015,China,汇医慧影,0.76
2015,China,ZOE,0.82
2015,China,Atomwise,0.72
2015,China,Augmedix,0.79
2015,China,联影智能,0.69
2015,China,平安智慧医疗,0.74
2015,China,迈瑞医疗,0.71
2015,China,CodaMetrix,0.74
2015,China,Eleos Health,0.72
2016,China,IT桔子,1.21
2016,China,清科研究中心,1.2
2016,China,企查查,1.2
2016,China,观研报告网,1.26
2016,China,Cleerly,1.31
2016,China,华大智造,1.09
2016,China,Quris-AI,1.1
2016,China,Optum Analytics,1.21
2016,China,Atomwise,1.14
2016,China,Element5,1.28
2016,China,GE Healthcare,1.13
2016,China,Arcadia,1.18
2016,China,Exscientia,1.27
2016,China,蓝帆医疗AI,1.22
2016,China,Arcadia,1.24
2016,China,推想科技,1.22
2016,China,Arterys,1.14
2016,China,Arterys,1.13
2016,China,平安智慧医疗,1.31
2016,China,平安智慧医疗,1.1
2016,China,Healx,1.16
2016,China,鹰瞳科技,1.26
2016,China,数坤科技,1.15
2016,China,前瞻产业研究院,1.32
2016,China,Hinge Health,1.26
2016,China,中国信通院,1.15
2016,China,腾讯觅影,1.17
2016,China,Regard,1.1
2016,China,Angle Health,1.13
2016,China,腾讯觅影,1.29
2016,China,Angle Health,1.2
2016,China,Daxue Consulting,1.24
2016,China,Intelligencia AI,1.09
2016,China,Praxis EMR,1.31
2016,China,Vizzia Technologies,1.14
2017,China,IT桔子,1.94
2017,China,清科研究中心,1.75
2017,China,企查查,1.97
2017,China,前瞻产业研究院,1.91
2017,China,Butterfly Network,1.92
2017,China,Intelligencia AI,2.01
2017,China,联影智能,1.71
2017,China,SmarterDx,1.79
2017,China,深睿医疗,1.77
2017,China,Owkin,1.97
2017,China,Arcadia,1.96
2017,China,Chordline Health,1.96
2017,China,Praxis EMR,1.77
2017,China,森浦医疗AI平台,1.86
2017,China,推想科技,2.0
2017,China,Element5,2.02
2017,China,Amazon Health,1.87
2017,China,Augmedix,1.95
2017,China,Elegen Corp.,1.75
2017,China,CodaMetrix,1.88
2017,China,腾讯觅影,1.85
2017,China,ScienceDirect,1.98
2018,China,IT桔子,3.08
2018,China,清科研究中心,2.92
2018,China,企查查,3.14
2018,China,Fathom,2.79
2018,China,GE Healthcare,3.33
2018,China,汇医慧影,3.12
2018,China,平安智慧医疗,2.99
2018,China,森浦医疗AI平台,3.13
2018,China,Quibim,3.04
2018,China,Chordline Health,2.97
2018,China,Digital Diagnostics,2.81
2018,China,推想科技,3.16
2018,China,ScienceDirect,2.95
2018,China,Praxis EMR,3.06
2018,China,Angle Health,2.79
2018,China,Philips Healthcare,3.25
2018,China,Element5,3.02
2018,China,前瞻产业研究院,3.26
2018,China,HMNC Brain Health,3.32
2018,China,Chordline Health,3.25
2018,China,SAS,3.16
2018,China,医渡云,2.9
2018,China,Viz.ai,3.37
2018,China,ZOE,2.83
2018,China,Daxue Consulting,2.77
2018,China,科亚医疗,2.79
2019,China,IT桔子,5.64
2019,China,清科研究中心,5.53
2019,China,企查查,5.66
2019,China,Arterys,5.05
2019,China,Fathom,5.95
2019,China,Owkin,5.55
2019,China,国家统计局,5.94
2019,China,Butterfly Network,5.68
2019,China,Livara Health,5.62
2019,China,Livara Health,5.61
2019,China,Daxue Consulting,5.41
2019,China,HMNC Brain Health,5.21
2019,China,华大智造,5.47
2019,China,Siemens Healthineers,5.23
2019,China,SimpleTherapy,5.63
2019,China,森浦医疗AI平台,5.54
2019,China,科亚医疗,5.72
2019,China,Hinge Health,5.46
2019,China,SmarterDx,5.32
2019,China,腾讯觅影,5.71
2019,China,艾瑞咨询,6.01
2019,China,Arterys,6.07
2019,China,Everly Health,5.92
2020,China,IT桔子,9.77
2020,China,清科研究中心,9.81
2020,China,企查查,9.71
2020,China,Owkin,9.71
2020,China,蓝帆医疗AI,10.41
2020,China,Praxis EMR,9.16
2020,China,Eleos Health,9.71
2020,China,Digital Diagnostics,10.29
2020,China,Color Health,9.67
2020,China,迈瑞医疗,9.77
2020,China,迈瑞医疗,10.55
2020,China,CodaMetrix,9.65
2020,China,Infinitus,10.61
2020,China,推想科技,9.83
2020,China,Google Health,9.21
2020,China,Google Health,10.64
2020,China,汇医慧影,10.71
2020,China,前瞻产业研究院,9.38
2020,China,中国信通院,9.54
2020,China,Microsoft Healthcare,10.43
2020,China,PathAI,9.64
2020,China,Philips Healthcare,9.46
2020,China,科亚医疗,9.51
2020,China,Google Health,9.81
2020,China,Augmedix,9.59
2020,China,平安智慧医疗,9.37
2020,China,华大智造,9.12
2020,China,Augmedix,10.58
2020,China,华大智造,9.45
2020,China,推想科技,9.3
2020,China,Hinge Health,9.44
2020,China,BenevolentAI,9.7
2020,China,Quibim,10.38
2020,China,数坤科技,9.17
2020,China,Vizzia Technologies,9.86
2021,China,IT桔子,17.96
2021,China,清科研究中心,18.95
2021,China,企查查,18.28
2021,China,Forward,17.66
2021,China,观研报告网,19.96
2021,China,国家统计局,16.64
2021,China,联影智能,18.62
2021,China,艾瑞咨询,17.71
2021,China,Digital Diagnostics,18.64
2021,China,深睿医疗,17.78
2021,China,SimpleTherapy,18.29
2021,China,Augmedix,17.13
2021,China,Intelligencia AI,17.44
2021,China,森亿智能,19.35
2021,China,Quibim,18.1
2021,China,推想科技,18.13
2021,China,依图科技,18.13
2021,China,Owkin,18.42
2021,China,Atomwise,19.88
2021,China,Quris-AI,17.83
2021,China,Healx,17.8
2021,China,Quibim,17.09
2022,China,IT桔子,11.82
2022,China,清科研究中心,13.11
2022,China,企查查,12.05
2022,China,Causaly,13.13
2022,China,Atomwise,11.28
2022,China,Amazon Health,12.5
2022,China,Cleerly,11.8
2022,China,Heidi Health,13.4
2022,China,Everly Health,11.64
2022,China,Amazon Health,12.5
2022,China,Philips Healthcare,12.37
2022,China,Angle Health,11.62
2022,China,Quris-AI,12.14
2022,China,Angle Health,13.65
2022,China,SimpleTherapy,13.51
2022,China,阿里健康,11.87
2022,China,Everly Health,11.36
2022,China,鹰瞳科技,11.5
2022,China,CKGSB Knowledge,12.67
2023,China,IT桔子,
2023,China,清科研究中心,16.65
2023,China,企查查,16.46
2023,China,IBM Watson Health,15.77
2023,China,数坤科技,15.17
2023,China,Intelligencia AI,17.87
2023,China,Cleerly,18.14
2023,China,IBM Watson Health,15.89
2023,China,国家统计局,15.0
2023,China,汇医慧影,17.0
2023,China,SAS,17.65
2023,China,ScienceDirect,18.01
2023,China,科亚医疗,16.58
2023,China,Amazon Health,15.04
2023,China,艾瑞咨询,16.07
2023,China,Vizzia Technologies,15.17
2023,China,中国信通院,15.78
2023,China,推想科技,16.83
2023,China,Arterys,17.2
2023,China,前瞻产业研究院,16.47
2023,China,依图科技,17.8
2023,China,Butterfly Network,17.08
2023,China,Element5,15.69
2023,China,Angle Health,18.18
2023,China,Owkin,15.23
2023,China,Augmedix,17.27
2023,China,Praxis EMR,15.58
2024,China,IT桔子,21.5
2024,China,清科研究中心,22.84
2024,China,企查查,20.85
2024,China,Forward,22.73
2024,China,Viz.ai,20.7
2024,China,Daxue Consulting,21.6
2024,China,Causaly,21.8
2024,China,鹰瞳科技,21.18
2024,China,迈瑞医疗,19.87
2024,China,汇医慧影,23.03
2024,China,Daxue Consulting,19.9
2024,China,华大智造,23.94
2024,China,Intelligencia AI,22.27
2024,China,鹰瞳科技,23.0
2024,China,Intelligencia AI,20.74
2024,China,Intelligencia AI,23.33
2024,China,新华三AI医疗平台,19.56
2024,China,依图科技,21.93
2024,China,ZOE,23.48
2024,China,BenevolentAI,23.25
2024,China,腾讯觅影,20.85
2024,China,Viz.ai,20.81
2024,China,新华三AI医疗平台,23.77
2024,China,Elegen Corp.,23.81
2024,China,Insitro,23.56
2024,China,HMNC Brain Health,23.58
2024,China,PathAI,23.47
2024,China,Siemens Healthineers,22.8
2024,China,依图科技,22.53
2024,China,Color Health,19.97
2024,China,Elegen Corp.,21.08
2024,China,森亿智能,22.55
2024,China,Digital Diagnostics,23.82
2024,China,新华三AI医疗平台,23.04
2024,China,联影智能,20.8
2015,EU,Dealroom,1.27
2015,EU,EU Startups,1.16
2015,EU,Sifted,1.21
2015,EU,Regard,1.14
2015,EU,科亚医疗,1.2
2015,EU,BenevolentAI,1.31
2015,EU,BenevolentAI,1.13
2015,EU,Infinitus,1.22
2015,EU,Chordline Health,1.18
2015,EU,Praxis EMR,1.27
2015,EU,Livara Health,1.16
2015,EU,Fathom,1.29
2015,EU,Butterfly Network,1.19
2015,EU,CodaMetrix,1.28
2015,EU,观研报告网,1.31
2015,EU,森浦医疗AI平台,1.11
2015,EU,Heidi Health,1.2
2015,EU,ScienceDirect,1.32
2015,EU,Butterfly Network,1.15
2016,EU,Dealroom,1.65
2016,EU,EU Startups,1.73
2016,EU,Sifted,1.52
2016,EU,SmarterDx,1.67
2016,EU,Digital Diagnostics,1.47
2016,EU,新华三AI医疗平台,1.75
2016,EU,ScienceDirect,1.81
2016,EU,HMNC Brain Health,1.8
2016,EU,艾瑞咨询,1.74
2016,EU,Quibim,1.54
2016,EU,中国信通院,1.76
2016,EU,Forward,1.66
2016,EU,Daxue Consulting,1.66
2016,EU,Arterys,1.51
2016,EU,Forward,1.74
2016,EU,Vizzia Technologies,1.57
2016,EU,Butterfly Network,1.75
2016,EU,CodaMetrix,1.77
2016,EU,森浦医疗AI平台,1.64
2016,EU,森亿智能,1.72
2016,EU,Angle Health,1.78
2016,EU,Optum Analytics,1.45
2016,EU,BenchSci,1.58
2016,EU,鹰瞳科技,1.78
2016,EU,Angle Health,1.64
2016,EU,国家统计局,1.66
2016,EU,CKGSB Knowledge,1.48
2017,EU,Dealroom,2.4
2017,EU,EU Startups,2.28
2017,EU,Sifted,2.3
2017,EU,Vizzia Technologies,2.32
2017,EU,BenchSci,2.47
2017,EU,SimpleTherapy,2.24
2017,EU,Chordline Health,2.55
2017,EU,Insitro,2.39
2017,EU,Quris-AI,2.52
2017,EU,SimpleTherapy,2.41
2017,EU,Arterys,2.14
2017,EU,医渡云,2.34
2017,EU,Lyra Health,2.39
2017,EU,Digital Diagnostics,2.12
2017,EU,Daxue Consulting,2.28
2017,EU,Color Health,2.12
2017,EU,SimpleTherapy,2.09
2017,EU,Heidi Health,2.09
2017,EU,Optum Analytics,2.1
2017,EU,医渡云,2.5
2017,EU,Cleerly,2.51
2017,EU,前瞻产业研究院,2.38
2017,EU,Quibim,2.19
2017,EU,汇医慧影,2.13
2017,EU,GE Healthcare,2.4
2017,EU,平安智慧医疗,2.31
2018,EU,Dealroom,3.42
2018,EU,EU Startups,3.6
2018,EU,Sifted,3.39
2018,EU,艾瑞咨询,3.42
2018,EU,Insitro,3.68
2018,EU,阿里健康,3.53
2018,EU,深睿医疗,3.26
2018,EU,Praxis EMR,3.75
2018,EU,Quibim,3.42
2018,EU,Forward,3.33
2018,EU,Lyra Health,3.55
2018,EU,SmarterDx,3.37
2018,EU,BenchSci,3.73
2018,EU,腾讯觅影,3.55
2018,EU,Owkin,3.15
2018,EU,Butterfly Network,3.77
2018,EU,观研报告网,3.51
2018,EU,蓝帆医疗AI,3.63
2018,EU,Heidi Health,3.42
2018,EU,ScienceDirect,3.4
2018,EU,Arterys,3.59
2018,EU,Element5,3.25
2018,EU,Heidi Health,3.59
2018,EU,森亿智能,3.57
2018,EU,前瞻产业研究院,3.31
2019,EU,Dealroom,5.14
2019,EU,EU Startups,5.58
2019,EU,Sifted,5.11
2019,EU,阿里健康,5.3
2019,EU,Intelligencia AI,5.18
2019,EU,Regard,4.82
2019,EU,Regard,5.03
2019,EU,Angle Health,4.78
2019,EU,Angle Health,5.13
2019,EU,腾讯觅影,5.61
2019,EU,平安智慧医疗,5.73
2019,EU,SAS,4.86
2019,EU,Praxis EMR,5.24
2019,EU,观研报告网,5.13
2019,EU,平安智慧医疗,5.54
2019,EU,CKGSB Knowledge,5.64
2019,EU,Digital Diagnostics,5.3
2019,EU,Chordline Health,5.45
2019,EU,阿里健康,4.94
2019,EU,科亚医疗,5.41
2019,EU,CodaMetrix,5.01
2020,EU,Dealroom,7.68
2020,EU,EU Startups,8.39
2020,EU,Sifted,7.6
2020,EU,CodaMetrix,8.4
2020,EU,依图科技,7.7
2020,EU,科亚医疗,8.19
2020,EU,汇医慧影,8.4
2020,EU,科亚医疗,7.76
2020,EU,中国信通院,8.35
2020,EU,Elegen Corp.,7.09
2020,EU,CKGSB Knowledge,8.01
2020,EU,Lyra Health,8.33
2020,EU,Cleerly,8.39
2020,EU,观研报告网,7.57
2020,EU,Optum Analytics,7.48
2020,EU,SAS,8.18
2020,EU,BenchSci,7.39
2020,EU,Atomwise,7.87
2020,EU,Arterys,8.57
2020,EU,前瞻产业研究院,7.79
2020,EU,数坤科技,7.47
2020,EU,观研报告网,8.35
2020,EU,中国信通院,7.88
2020,EU,国家统计局,8.11
2020,EU,Amazon Health,8.18
2020,EU,Everly Health,7.27
2020,EU,PathAI,8.63
2021,EU,Dealroom,9.62
2021,EU,EU Startups,9.97
2021,EU,Sifted,9.25
2021,EU,Quibim,9.18
2021,EU,Quris-AI,9.34
2021,EU,华大智造,9.87
2021,EU,CKGSB Knowledge,10.28
2021,EU,科亚医疗,9.05
2021,EU,腾讯觅影,8.87
2021,EU,华大智造,8.72
2021,EU,推想科技,10.3
2021,EU,中国信通院,8.77
2021,EU,Arterys,9.41
2021,EU,Color Health,9.68
2021,EU,Intelligencia AI,8.64
2021,EU,森亿智能,10.44
2021,EU,Element5,9.79
2021,EU,Arcadia,10.22
2021,EU,前瞻产业研究院,9.04
2021,EU,数坤科技,8.64
2021,EU,PathAI,10.08
2021,EU,Infinitus,9.28
2021,EU,Amazon Health,10.21
2021,EU,Forward,9.56
2021,EU,Microsoft Healthcare,9.27
2021,EU,Infinitus,9.15
2021,EU,森亿智能,9.11
2021,EU,CodaMetrix,9.66
2021,EU,Quibim,8.92
2021,EU,Arterys,9.97
2021,EU,Lyra Health,10.37
2021,EU,Vizzia Technologies,9.48
2022,EU,Dealroom,11.57
2022,EU,EU Startups,12.37
2022,EU,Sifted,11.4
2022,EU,Heidi Health,11.14
2022,EU,数坤科技,12.73
2022,EU,蓝帆医疗AI,11.26
2022,EU,数坤科技,12.83
2022,EU,Vizzia Technologies,12.42
2022,EU,Livara Health,11.49
2022,EU,Healx,11.18
2022,EU,Quibim,12.84
2022,EU,GE Healthcare,12.79
2022,EU,Amazon Health,11.25
2022,EU,Cleerly,11.28
2022,EU,Color Health,12.05
2022,EU,Arterys,11.04
2022,EU,Owkin,12.01
2022,EU,Google Health,11.12
2022,EU,Cleerly,11.67
2022,EU,森浦医疗AI平台,11.53
2022,EU,Heidi Health,11.57
2022,EU,蓝帆医疗AI,12.03
2022,EU,阿里健康,10.8
2022,EU,观研报告网,12.31
2022,EU,腾讯觅影,12.33
2022,EU,BenevolentAI,11.23
2022,EU,Eleos Health,12.71
2022,EU,GE Healthcare,10.89
2022,EU,Causaly,12.58
2022,EU,Viz.ai,11.36
2023,EU,Dealroom,10.09
2023,EU,EU Startups,10.69
2023,EU,Sifted,10.24
2023,EU,Heidi Health,9.23
2023,EU,Google Health,9.98
2023,EU,Vizzia Technologies,11.44
2023,EU,依图科技,9.44
2023,EU,Color Health,9.43
2023,EU,Quris-AI,9.85
2023,EU,Elegen Corp.,10.59
2023,EU,观研报告网,9.47
2023,EU,Philips Healthcare,10.2
2023,EU,Angle Health,9.99
2023,EU,汇医慧影,10.11
2023,EU,Optum Analytics,11.28
2023,EU,蓝帆医疗AI,10.1
2023,EU,蓝帆医疗AI,11.06
2023,EU,Chordline Health,10.11
2023,EU,观研报告网,10.78
2023,EU,阿里健康,11.16
2023,EU,观研报告网,9.93
2023,EU,Causaly,9.57
2023,EU,艾瑞咨询,10.67
2023,EU,汇医慧影,10.3
2023,EU,Regard,9.5
2023,EU,Causaly,9.66
2023,EU,Causaly,10.04
2023,EU,ScienceDirect,10.86
2023,EU,Elegen Corp.,11.23
2023,EU,Digital Diagnostics,9.61
2024,EU,Dealroom,12.53
2024,EU,EU Startups,12.76
2024,EU,Sifted,13.03
2024,EU,Siemens Healthineers,12.27
2024,EU,CKGSB Knowledge,11.98
2024,EU,腾讯觅影,12.62
2024,EU,中国信通院,13.62
2024,EU,ZOE,13.35
2024,EU,BenevolentAI,12.46
2024,EU,蓝帆医疗AI,12.77
2024,EU,Healx,12.66
2024,EU,森亿智能,11.62
2024,EU,Quris-AI,12.59
2024,EU,观研报告网,12.41
2024,EU,推想科技,12.57
2024,EU,Fathom,12.58
2024,EU,Fathom,11.55
2024,EU,CodaMetrix,12.07
2024,EU,Vizzia Technologies,11.62
2024,EU,深睿医疗,13.05
2024,EU,Regard,12.9
2024,EU,CodaMetrix,13.15
2024,EU,Fathom,12.19
2024,EU,Forward,12.12
2024,EU,艾瑞咨询,13.63
2024,EU,Causaly,12.41
2024,EU,医渡云,13.94
2024,EU,Fathom,11.97
2024,EU,BenevolentAI,12.16
2024,EU,Hinge Health,13.49
2024,EU,Quibim,13.68
2024,EU,新华三AI医疗平台,12.7
2024,EU,Owkin,11.52
2015,Global,CB Insights,
2015,Global,Crunchbase,6.52
2015,Global,PitchBook,6.0
2015,Global,深睿医疗,6.02
2015,Global,Atomwise,6.27
2015,Global,Heidi Health,5.7
2015,Global,Arcadia,5.93
2015,Global,Insitro,5.67
2015,Global,HMNC Brain Health,6.85
2015,Global,Amazon Health,6.18
2015,Global,Heidi Health,5.92
2015,Global,Exscientia,6.8
2015,Global,平安智慧医疗,5.84
2015,Global,Fathom,5.92
2015,Global,科亚医疗,5.95
2015,Global,Fathom,6.49
2015,Global,科亚医疗,6.17
2015,Global,Praxis EMR,6.4
2015,Global,Forward,5.69
2015,Global,Daxue Consulting,6.29
2015,Global,国家统计局,5.78
2015,Global,SimpleTherapy,5.64
2015,Global,Arcadia,6.84
2015,Global,Owkin,6.15
2015,Global,阿里健康,6.02
2015,Global,艾瑞咨询,6.6
2015,Global,Heidi Health,6.63
2015,Global,BenchSci,6.25
2015,Global,ZOE,6.01
2015,Global,汇医慧影,6.02
2015,Global,CodaMetrix,6.79
2015,Global,Causaly,6.1
2015,Global,艾瑞咨询,6.06
2015,Global,森亿智能,6.63
2015,Global,Heidi Health,5.91
2015,Global,Augmedix,6.71
2016,Global,CB Insights,7.87
2016,Global,Crunchbase,8.77
2016,Global,PitchBook,8.25
2016,Global,汇医慧影,8.12
2016,Global,Augmedix,7.75
2016,Global,Quibim,7.84
2016,Global,Google Health,7.49
2016,Global,PathAI,8.0
2016,Global,阿里健康,8.55
2016,Global,新华三AI医疗平台,8.56
2016,Global,Heidi Health,8.75
2016,Global,汇医慧影,8.15
2016,Global,SimpleTherapy,7.84
2016,Global,Lyra Health,8.23
2016,Global,医渡云,8.85
2016,Global,鹰瞳科技,7.94
2016,Global,SmarterDx,8.42
2016,Global,Daxue Consulting,8.06
2016,Global,依图科技,8.27
2016,Global,Augmedix,8.46
2016,Global,Quris-AI,8.37
2016,Global,SAS,7.6
2016,Global,Quris-AI,7.81
2016,Global,深睿医疗,7.52
2016,Global,观研报告网,9.08
2016,Global,Optum Analytics,7.68
2016,Global,Vizzia Technologies,8.57
2017,Global,CB Insights,12.22
2017,Global,Crunchbase,12.91
2017,Global,PitchBook,11.58
2017,Global,BenchSci,12.15
2017,Global,Healx,10.96
2017,Global,GE Healthcare,13.14
2017,Global,Daxue Consulting,12.8
2017,Global,Healx,12.98
2017,Global,Owkin,12.99
2017,Global,Praxis EMR,12.38
2017,Global,森浦医疗AI平台,12.07
2017,Global,Lyra Health,12.34
2017,Global,Microsoft Healthcare,13.48
2017,Global,BenevolentAI,12.29
2017,Global,Insitro,13.21
2017,Global,Causaly,11.97
2017,Global,Everly Health,12.05
2017,Global,Daxue Consulting,12.21
2017,Global,Regard,11.68
2018,Global,CB Insights,18.25
2018,Global,Crunchbase,19.99
2018,Global,PitchBook,19.02
2018,Global,Atomwise,20.49
2018,Global,深睿医疗,17.49
2018,Global,IBM Watson Health,20.95
2018,Global,GE Healthcare,17.46
2018,Global,Element5,17.5
2018,Global,迈瑞医疗,20.05
2018,Global,森浦医疗AI平台,20.13
2018,Global,Quris-AI,18.34
2018,Global,Livara Health,20.05
2018,Global,BenevolentAI,17.78
2018,Global,Arcadia,18.92
2018,Global,Forward,20.7
2018,Global,依图科技,17.1
2018,Global,Arterys,19.63
2018,Global,Daxue Consulting,18.12
2018,Global,Infinitus,20.7
2018,Global,Atomwise,20.51
2018,Global,Lyra Health,19.77
2018,Global,平安智慧医疗,17.45
2018,Global,Insitro,18.27
2018,Global,中国信通院,18.29
2018,Global,森浦医疗AI平台,20.46
2018,Global,Philips Healthcare,17.43
2018,Global,腾讯觅影,17.4
2018,Global,Element5,20.75
2019,Global,CB Insights,26.31
2019,Global,Crunchbase,27.19
2019,Global,PitchBook,
2019,Global,SmarterDx,26.8
2019,Global,Color Health,27.18
2019,Global,Owkin,25.05
2019,Global,Daxue Consulting,28.83
2019,Global,Google Health,25.42
2019,Global,依图科技,25.6
2019,Global,蓝帆医疗AI,26.1
2019,Global,蓝帆医疗AI,29.15
2019,Global,BenchSci,26.97
2019,Global,Infinitus,28.99
2019,Global,新华三AI医疗平台,26.52
2019,Global,Philips Healthcare,25.5
2019,Global,艾瑞咨询,26.64
2019,Global,Quibim,27.55
2020,Global,CB Insights,38.18
2020,Global,Crunchbase,43.61
2020,Global,PitchBook,38.85
2020,Global,Regard,37.58
2020,Global,Fathom,44.76
2020,Global,Livara Health,44.47
2020,Global,前瞻产业研究院,42.78
2020,Global,SmarterDx,38.12
2020,Global,Healx,40.35
2020,Global,数坤科技,41.6
2020,Global,Optum Analytics,41.37
2020,Global,Daxue Consulting,41.55
2020,Global,Eleos Health,40.36
2020,Global,Livara Health,40.51
2020,Global,Chordline Health,40.68
2020,Global,Chordline Health,40.37
2020,Global,Color Health,44.05
2020,Global,深睿医疗,42.9
2020,Global,国家统计局,42.52
2020,Global,中国信通院,41.74
2020,Global,Atomwise,41.12
2020,Global,Butterfly Network,36.39
2020,Global,Arcadia,36.44
2020,Global,Intelligencia AI,44.15
2020,Global,CodaMetrix,37.45
2020,Global,鹰瞳科技,42.07
2020,Global,Philips Healthcare,41.6
2020,Global,迈瑞医疗,43.48
2020,Global,Viz.ai,38.1
2020,Global,平安智慧医疗,44.9
2020,Global,Daxue Consulting,40.88
2020,Global,Cleerly,40.88
2020,Global,Quibim,43.01
2021,Global,CB Insights,74.67
2021,Global,Crunchbase,76.33
2021,Global,PitchBook,74.03
2021,Global,新华三AI医疗平台,76.11
2021,Global,汇医慧影,74.34
2021,Global,平安智慧医疗,67.48
2021,Global,CodaMetrix,69.17
2021,Global,Vizzia Technologies,71.0
2021,Global,Quris-AI,77.75
2021,Global,Quris-AI,80.45
2021,Global,科亚医疗,75.75
2021,Global,Vizzia Technologies,68.56
2021,Global,艾瑞咨询,80.43
2021,Global,Regard,72.57
2021,Global,Optum Analytics,70.81
2021,Global,Regard,78.87
2021,Global,森浦医疗AI平台,80.59
2021,Global,Cleerly,74.88
2021,Global,Hinge Health,79.35
2021,Global,BenchSci,68.91
2021,Global,Intelligencia AI,72.55
2021,Global,腾讯觅影,75.67
2021,Global,Livara Health,67.43
2021,Global,推想科技,76.39
2021,Global,Quris-AI,72.92
2021,Global,HMNC Brain Health,69.59
2021,Global,Arcadia,73.05
2021,Global,PathAI,71.45
2021,Global,Insitro,72.92
2021,Global,Chordline Health,78.3
2021,Global,Hinge Health,72.11
2021,Global,Quibim,77.7
2022,Global,CB Insights,124.87
2022,Global,Crunchbase,122.51
2022,Global,PitchBook,122.63
2022,Global,艾瑞咨询,130.08
2022,Global,推想科技,116.2
2022,Global,数坤科技,127.06
2022,Global,中国信通院,131.16
2022,Global,Digital Diagnostics,131.39
2022,Global,Element5,128.74
2022,Global,联影智能,125.95
2022,Global,Causaly,113.6
2022,Global,SimpleTherapy,134.33
2022,Global,Atomwise,131.15
2022,Global,Exscientia,114.66
2022,Global,Siemens Healthineers,119.32
2022,Global,GE Healthcare,128.08
2022,Global,Elegen Corp.,126.56
2022,Global,Viz.ai,123.01
2022,Global,森浦医疗AI平台,129.95
2022,Global,HMNC Brain Health,111.15
2022,Global,Cleerly,129.52
2022,Global,Fathom,124.58
2022,Global,Angle Health,125.45
2022,Global,Praxis EMR,115.16
2022,Global,Livara Health,128.41
2023,Global,CB Insights,93.9
2023,Global,Crunchbase,99.74
2023,Global,PitchBook,93.4
2023,Global,科亚医疗,101.14
2023,Global,中国信通院,99.87
2023,Global,Cleerly,103.9
2023,Global,SAS,93.4
2023,Global,新华三AI医疗平台,87.85
2023,Global,GE Healthcare,103.88
2023,Global,SimpleTherapy,102.85
2023,Global,Angle Health,89.0
2023,Global,Fathom,102.68
2023,Global,Arterys,99.24
2023,Global,Intelligencia AI,98.07
2023,Global,Google Health,98.08
2023,Global,CodaMetrix,94.22
2023,Global,Causaly,90.99
2023,Global,Augmedix,96.52
2023,Global,Regard,103.53
2023,Global,Augmedix,91.74
2023,Global,Philips Healthcare,104.8
2023,Global,Butterfly Network,101.07
2023,Global,Angle Health,98.26
2023,Global,CKGSB Knowledge,89.3
2023,Global,Google Health,89.29
2023,Global,Quibim,96.74
2023,Global,Microsoft Healthcare,88.79
2024,Global,CB Insights,119.39
2024,Global,Crunchbase,116.35
2024,Global,PitchBook,108.51
2024,Global,汇医慧影,113.92
2024,Global,Infinitus,101.97
2024,Global,Color Health,120.95
2024,Global,ZOE,107.67
2024,Global,迈瑞医疗,127.11
2024,Global,Microsoft Healthcare,108.54
2024,Global,SAS,105.78
2024,Global,Insitro,115.69
2024,Global,阿里健康,107.5
2024,Global,腾讯觅影,106.48
2024,Global,Element5,121.77
2024,Global,CodaMetrix,113.84
2024,Global,迈瑞医疗,110.57
2024,Global,Lyra Health,104.65
